"Employer","CEO","CEO_Compensation","Median_Worker_Comp","Ratio","Company_Rating","CEO_Compensation_($000)"
"Salesforce","Marc Benioff",31333332,151512,207,3.9,3133.3332
"Thermo Fisher Scientific","Marc N. Casper",17446957,79898,218,3.2,1744.6957
"Hewlett-Packard","Margaret C. Whitman",19612164,103632,189,3.3,1961.2164
"Lockheed Martin","Marillyn A. Hewson",33687442,85465,394,3.5,3368.7442
"Yahoo","Marissa A. Mayer",42083508,137011,307,3.5,4208.3508
"Flowserve","Mark A. Blinn",7660592,74235,103,3.2,766.0592
"Citrix Systems","Mark B. Templeton",7883614,113997,69,3.6,788.3614
"Mallinckrodt Pharmaceuticals","Mark Christopher Trudeau",6502676,96995,67,2.7,650.2676
"Precision Castparts","Mark Donegan",9699876,71460,136,2.9,969.9876
"Ford Motor Company","Mark Fields",18596497,90050,207,3.7,1859.6497
"NIKE","Mark G. Parker",16819730,44073,382,4,1681.973
"Eastman Chemical","Mark J. Costa",7851406,83722,94,4.5,785.1406
"Aetna","Mark T. Bertolini",15067322,67873,222,3.3,1506.7322
"Lam Research","Martin B. Anstice",15009218,109247,137,3.8,1500.9218
"Altria","Martin J. Barrington",12320990,79572,155,3.7,1232.099
"Invesco","Martin L. Flanagan",15622002,66082,236,3.7,1562.2002
"Paychex","Martin Mucci",6006823,60285,100,3.6,600.6823
"Baker Hughes","Martin S. Craighead",14709830,86844,169,3.5,1470.983
"Frontier Communications","Mary Agnes Wilderotter",9158907,65500,140,3,915.8907
"General Motors","Mary T. Barra",16162828,93165,173,3.5,1616.2828
"Edwards Lifesciences","Michael A. Mussallem",8616570,95528,90,3.1,861.657
"Newell Rubbermaid","Michael B. Polk",12351559,77724,159,3.1,1235.1559
"Teradata","Michael F. Koehler",6448133,117352,55,3.4,644.8133
"Boston Scientific","Michael F. Mahoney",10527884,95860,110,3.6,1052.7884
"Interpublic Group","Michael I. Roth",12899339,73553,175,3.5,1289.9339
"United Rentals","Michael J. Kneeland",8402819,61105,138,3.5,840.2819
"Tiffany & Co.","Michael J. Kowalski",8101758,61260,132,2.9,810.1758
"Essex Property Trust","Michael J. Schall",2764573,60000,46,2.9,276.4573
"CSX","Michael J. Ward",10068089,66161,152,3.5,1006.8089
"Citi","Michael L. Corbat",14457199,99666,145,3.3,1445.7199
"Airgas","Michael L. Molinini",4302807,55580,77,2.6,430.2807
"CA Technologies","Michael P. Gregoire",8344222,122520,68,3.2,834.4222
"XL Group","Michael S. McGavick",11734396,102013,115,3.6,1173.4396
"L-3 Communications","Michael T. Strianese",14765393,81804,180,3.2,1476.5393
"AutoNation","Mike Jackson",10606596,52103,204,3.2,1060.6596
"Abbott Labs","Miles D. White",17732241,101178,175,3.5,1773.2241
"Nielsen","Mitch Barns",6957892,71646,97,3.6,695.7892
"Xilinx","Moshe N. Gavrielov",6471480,141448,46,3.4,647.148
"Coca-Cola Company","Muhtar Kent",25224422,54804,460,3.3,2522.4422
"Cummins","N. T. Linebarger",14784555,79442,186,3.9,1478.4555
"ADT Security Services","Naren K. Gursahaney",5465388,51050,107,2.5,546.5388
"Cerner","Neal L. Patterson",6599410,65000,102,3.6,659.941
"CONSOL Energy","Nicholas J. DeIuliis",8326097,78004,107,2.5,832.6097
"AEP","Nicholas K. Akins",11373520,78590,145,3.7,1137.352
"Snap-on","Nicholas T. Pinchuk",9540993,72194,132,3.3,954.0993
"Regions Financial","O. B. Grayson Hall, Jr.",14421247,37683,383,3.5,1442.1247
"Medtronic","Omar Ishrak",12118846,96005,126,3.7,1211.8846
"Schlumberger","Paal Kibsgaard",18518374,94443,196,3.5,1851.8374
"ADM","Patricia Woertz",17022941,61130,278,3.3,1702.2941
"Xylem","Patrick K. Decker",8227869,74974,110,2.9,822.7869
"Brown-Forman","Paul C. Varga",12259150,96468,127,4.2,1225.915
"E*TRADE Financial","Paul T. Idzik",5258458,70561,75,2.9,525.8458
"Mead Johnson","Peter Kasper Jakobsen",8369158,100267,83,3.3,836.9158
"General Dynamics","Phebe N. Novakovic",19388084,86404,224,3.4,1938.8084
"Viacom","Philippe P. Dauman",44334858,82094,540,3.6,4433.4858
"TSYS","Phillip W. Tomlinson",5440198,67304,81,3.2,544.0198
"CME Group","Phupinder S. Gill",5368575,105163,51,3.5,536.8575
"Accenture","Pierre Nanterme",15925463,89848,177,3.6,1592.5463
"FMC","Pierre R. Brondeau",5117145,89500,57,2.8,511.7145
"Anadarko Petroleum","R. A. Walker",20720187,110626,187,4.4,2072.0187
"Hospital Corporation of America","R. Milton Johnson",14625513,61000,240,3.4,1462.5513
"ConocoPhillips","R.M. Lance",27575900,103296,267,3.8,2757.59
"ExxonMobil","R.W. Tillerson",33096312,108000,306,3.7,3309.6312
"Endo Pharmaceuticals","Rajiv De Silva",22071596,115588,191,2.8,2207.1596
"Sigma-Aldrich","Rakesh Sachdev",5630524,66000,85,3,563.0524
"PSEG","Ralph Izzo, Ph.D.",11014644,93008,118,3.2,1101.4644
"Polo Ralph Lauren","Ralph Lauren",24537936,47452,517,3.3,2453.7936
"Comerica","Ralph W. Babb, Jr.",11311926,51025,222,3.3,1131.1926
"Pentair","Randall J. Hogan",14836702,82097,181,2.9,1483.6702
"AT&T","Randall L. Stephenson",23984315,67302,356,3.3,2398.4315
"Moody's","Raymond W. McDaniel, Jr.",14099502,103208,137,3.6,1409.9502
"Netflix","Reed Hastings",11063926,134721,82,3.6,1106.3926
"AbbVie","Richard A. Gonzalez",22006271,104366,211,3.6,2200.6271
"Hanesbrands","Richard A. Noll",11116508,58000,192,3.3,1111.6508
"Freeport-McMoRan Copper & Gold","Richard C. Adkerson",10123035,74154,137,3.9,1012.3035
"Royal Caribbean Cruises","Richard D. Fain",12013878,68146,176,3.6,1201.3878
"Capital One","Richard D. Fairbank",19606474,83117,236,3.6,1960.6474
"Equifax","Richard F. Smith",13879675,90324,154,3.5,1387.9675
"Delta Air Lines","Richard H. Anderson",17589867,54804,321,4,1758.9867
"Pulte Homes","Richard J. Dugas, Jr.",7723041,69027,112,3.6,772.3041
"Goodyear","Richard J. Kramer",17853097,61260,291,3.4,1785.3097
"U.S. Bank","Richard K. Davis",19373076,43525,445,3.3,1937.3076
"The J. M. Smucker Company","Richard K. Smucker",4886995,69428,70,3.8,488.6995
"Texas Instruments","Richard K. Templeton",15043694,106878,141,3.8,1504.3694
"KLA-Tencor","Richard P. Wallace",6889513,116394,59,3.3,688.9513
"Dollar General","Richard W. Dreiling,",9764152,32683,299,2.8,976.4152
"Amgen","Robert A. Bradway",13961667,121202,115,3.5,1396.1667
"Walt Disney Co.","Robert A. Iger",46497018,79211,587,3.8,4649.7018
"Lowe's","Robert A. Niblock",14279945,29720,480,3.4,1427.9945
"Assurant","Robert B. Pollock",11903533,46961,253,3.2,1190.3533
"NiSource","Robert C. Skaggs, Jr.",8282039,66500,125,3.9,828.2039
"Chesapeake Energy","Robert D. (–Doug”) Lawler",14677377,82297,178,3.7,1467.7377
"Time Warner Cable","Robert D. Marcus",34615597,55006,629,3.3,3461.5597
"Ryder System","Robert E. Sanchez",5654252,55702,102,3.1,565.4252
"PerkinElmer","Robert F. Friel",8934070,89848,99,2.4,893.407
"M&T Bank","Robert G. Wilmers",4223419,51816,82,3.2,422.3419
"NASDAQ","Robert Greifeld",12083929,131709,92,3.6,1208.3929
"AIG","Robert Herman Benmosche",11433372,85216,134,3,1143.3372
"Celgene","Robert J. Hugin",24236113,117517,206,3.7,2423.6113
"News Corp","Robert J. Thomson",12466016,78981,158,2.9,1246.6016
"Rockwell Collins","Robert K. Ortberg",5828786,81536,71,3.5,582.8786
"Baxter","Robert L. Parkinson, Jr.,",15304702,82479,186,3.4,1530.4702
"Dun & Bradstreet","Robert P. Carrigan",4198663,114440,37,3.4,419.8663
"Constellation Brands","Robert Sands",10410261,100530,104,3.6,1041.0261
"Delphi","Rodney O'Neal",14874930,91618,162,3.3,1487.493
"Murphy Oil","Roger W. Jenkins",12778568,44929,284,3,1277.8568
"PACCAR","Ronald E. Armstrong",6757823,70669,96,2.8,675.7823
"Public Storage","Ronald L. Havner, Jr.",9009200,26027,346,3.1,900.92
"Staples","Ronald L. Sargent",12391537,25407,488,3,1239.1537
"John Deere","Samuel R. Allen",20273296,74573,272,3.8,2027.3296
"General Growth Properties","Sandeep Lakhmi Mathrani",4892039,76622,64,3.4,489.2039
"SanDisk","Sanjay Mehrotra",11498963,130000,88,3.2,1149.8963
"Microsoft","Satya Nadella",84308755,137000,615,3.8,8430.8755
"Broadcom","Scott A. McGregor",16451411,145084,113,3.5,1645.1411
"Textron","Scott C. Donnelly",13590693,76537,178,3.3,1359.0693
"Cintas","Scott D. Farmer",4700884,52222,90,3.3,470.0884
"CenterPoint Energy","Scott M. Prochazka",4897291,68000,72,3.7,489.7291
"Patterson Companies","Scott P. Anderson",2570509,56997,45,3.4,257.0509
"Air Products","Seifi Ghasemi",10189713,89015,114,3.5,1018.9713
"Adobe","Shantanu Narayen",17890918,133322,134,4,1789.0918
"Juniper Networks","Shaygan Kheradpir",30165992,153624,196,3.6,3016.5992
